ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
39808,Fontel S.p.A.,40,2,0,0
211991,F-NETWORK SRL,40,2,0,0
209137,Springo Srl,40,11,0,0
203591,TECNO GENERAL S.R.L,40,14,0,0
201518,Horizon Telecom SRL,40,2,17,1
201198,Airgrid S.R.L.,40,4,29,1
201183,VoipTel Italia S.r.l.,40,5,0,0
201102,AVELIA SRL,40,3,0,0
200794,NAVIGO srl,40,5,0,0
200497,WAVECOM SRL,40,6,25,1
199666,Hynet S.R.L.,40,5,25,5
199536,Angelastri Giuseppe trading as TechDigital,40,5,31,1
197589,Alfanews S.r.l.,40,7,27,2
197506,Level7 s.r.l.,40,19,10,1
51708,Libera Universita di Bolzano,39,5,3,1
50352,Riccardo Gori,39,5,0,0
213063,MicroWiFi SRL,39,11,25,2
212608,CLOUDTEL SRL,39,1,0,0
211785,TechLabItalia s.r.l.,39,1,29,1
210026,Ministero della Difesa,39,2,30,1
209138,Lorenzo Rossi,39,5,0,0
208808,Enegan S.p.A.,39,28,1,1
207606,Myweb srls,39,4,1,1
206022,Airnetwork S.R.L,39,5,0,0
205219,WISP.ONE S.R.L.,39,3,30,1
204121,ADAL NETWORK SRL,39,2,0,0
203847,Marconi Solutions Srls,39,8,31,2
202975,Teknonet s.r.l.,39,6,26,1
202896,NIBBLE S.R.L.,39,4,0,0
200752,UNITEL S.R.L.,39,15,0,0
200254,TELDATA s.r.l.,39,1,0,0
200108,Nemo S.r.l.,39,5,30,1
198059,Gianluca Della Bona trading as Radio Data Net,39,1,0,0
197293,PROGETTO EVO S.R.L.,39,23,0,0
13097,Axera SpA,39,13,12,1
49535,E-Mind Srl,38,13,0,0
47406,ERRE ELLE NET s.r.l.,38,6,1,1
39479,NS3 s.r.l.,38,6,23,4
210917,Taurus Bond Srl,38,3,0,0
207715,Lcom s.r.l.s.,38,3,1,1
205276,Sicula System Srl,38,2,0,0
205260,Wolnet SRL,38,1,29,1
204326,GATE T1 SRL,38,3,29,3
203489,WiMore S.r.l.,38,8,30,2
202347,Europsys S.r.l.,38,1,0,0
50507,Accademia Europea di Bolzano,37,5,10,1
44512,KONVERTO SPA,37,20,24,4
34971,CDLAN SpA,37,20,47,3
212559,LUMIA NETWORK SRL,37,5,26,3
206460,SIM INFORMATICA SRL,37,20,0,0
200873,MavianMax srl,37,7,0,0
198102,XSTREAM SRL,37,24,25,1
12835,Trentino Digitale SPA,37,7,4,1
8265,FASTNET SpA,36,7,30,3
56488,Eis S.r.l.,36,2,20,2
39729,REGISTER S.P.A.,36,17,31,1
39217,ELMEC INFORMATICA S.P.A.,36,6,27,1
34691,Intendo S.r.l.,36,7,0,0
211482,Namirial spa,36,3,0,0
209358,PROFEXIONAL SRL,36,5,0,0
207029,Wime Srl,36,13,27,2
34599,EI TOWERS S.P.A.,35,4,0,0
31617,REEVO S.P.A.,35,15,28,2
209408,BZSOLUTIONS SRL,35,1,1,1
208920,Rocket Way S.R.L.,35,3,20,1
205891,WeNetwork SRL,35,2,24,1
24880,Siav S.p.A.,34,1,0,0
213260,cwnet s.r.l.,33,5,19,1
204180,INNET SRL,33,5,30,1
48394,Venis S.p.A.,32,1,0,0
43989,Ehinet Srl,32,8,29,2
39719,Liguria Digitale S.p.A.,32,16,1,2
21176,Engineering D.HUB S.p.A.,32,42,23,1
29050,Terrecablate Reti e Servizi S.R.L.,31,7,0,0
212751,Onorato Massimiliano trading as MAXIDEA SAS,31,4,18,1
212602,ConnectLife S.r.l,31,7,20,1
211918,INFRONT ITALY S.P.A.,31,1,25,1
210129,ATOMO NETWORKS SRL,31,3,10,1
209757,ITALO S.R.L.,31,1,0,0
204947,SPEED-NET S.R.L,31,6,24,1
204471,2S Computers SRL,31,3,24,2
202675,Keliweb S.R.L,31,18,20,1
200409,Tecnodata Trentina Srl,31,11,20,1
198399,FASTCON srl,31,9,29,1
12650,Il Sole 24 Ore SpA,31,1,0,0
62093,Cicorella srl,30,2,19,1
212054,ALL42 s.r.l.,30,4,1,1
209368,Noinet Societa Cooperativa,30,6,28,9
207697,Immobiliare.it S.p.A.,30,5,0,0
206539,HelloTel Telecomunicazioni srl,30,9,28,1
206173,SIOPLUS S.R.L.,30,4,27,1
199324,DODONET S.R.L.,30,9,17,1
198013,Ipkom Srl,30,17,0,0
213338,Evacom S.R.L.S.,29,2,1,1
206988,Argosid Network S.R.L,29,4,19,1
204504,Coding SRL,29,2,26,1
201806,SI.EL.CO. SRL,29,1,0,0
197825,EMAXY SRL,29,8,26,8
16004,MIX S.r.L. - Milan Internet eXchange,29,2,22,1
56550,STEL S.R.L.,28,17,0,0
41651,Regione Veneto,28,2,0,0
211391,Mitan Telematica S.r.l.,28,3,0,0
211084,RF COM S.R.L.,28,2,24,1
208376,DIGITAL GLOBE S.R.L.,28,3,25,1
207013,Wifly S.R.L.,28,4,0,0
206655,WI-GO Srl,28,9,0,0
205985,Halley Informatica srl,28,3,0,0
205099,DOLOMITES NETWORK S.R.L.,28,3,26,1
204923,WISPI SRL,28,3,0,0
204809,Maide srl,28,2,0,0
203059,Consorzio Energetico Val Venosta Soc. Coop.,28,16,25,1
13182,Made Network Srl,28,15,25,4
57913,ToscanaTLC s.r.l.,27,2,17,1
209970,NewCom TLC S.r.l.,27,2,28,1
205330,Ari@net SRL,27,17,25,1
205032,Smartline srls,27,1,1,1
204309,C. Company S.r.l.,27,4,0,0
45015,Geny Communications SRL,26,9,0,0
206617,Neomedia S.r.l.,26,23,0,0
204280,SIELTE S.P.A.,26,2,0,0
58150,ITALY ADSL SRL,25,3,0,0
3242,ITnet S.r.l.,25,58,29,6
203180,NEWMEDIAWEB S.R.L.,25,1,16,1
56962,RHS s.r.l.,23,4,1,1
49640,S.P.E. SISTEMI E PROGETTI ELETTRONICI S.A.S. DI PRANDINI PAOLO E C.,23,1,20,1
48500,Irpinia Net-Com SRL,23,11,0,0
35617,2Bite s.r.l.,23,9,20,1
28929,ASDASD srl a socio unico,23,7,2,1
199947,Nexusway srl,23,2,4,1
198128,Connecting Project s.r.l.,23,4,0,0
210278,Sky Italia srl,22,12,18,1
35193,IFOM Fondazione,21,2,0,0
202193,FreeCom S.r.l.,21,1,0,0
199362,Wish Networks s.r.l.,20,2,0,0
8234,RAI RadioTelevisione Italiana,19,3,0,0
39657,Comeser S.r.l.,18,19,0,0
56472,Ampersand Srl,17,9,12,1
43648,STIADSL S.R.L,17,11,8,1
196959,NAMEX CONSORZIO,17,72,0,0
47242,Host SpA,16,40,0,0
42463,AGESCI - Associazione Guide e Scout Cattolici Italiani,16,1,10,1
24796,NAMEX CONSORZIO,16,5,8,8
206737,MEDIATELCO SRL,16,6,8,1
202803,Mirko Montuori,16,12,6,1
60975,PARVATI SRL,15,3,15,1
60530,ALCONN SRL,15,23,7,2
60432,4ISP SRL,15,5,11,1
59766,WicitY srl,15,6,0,0
57264,OPTICONN SRL,15,5,14,3
2594,CSI Piemonte,15,24,6,1
208354,Alfa.Bit.Omega S.R.L.,15,5,7,1
208171,CSO S.r.l.s.,15,3,18,3
205358,NEOFIBER SRLS,15,2,0,0
203485,Noinet Societa Cooperativa,15,3,7,1
199042,Numeria Srl,15,9,0,0
198916,Inweb Adriatico S.r.l.,15,7,0,0
15720,Poste Italiane S.p.A.,15,22,0,0
56327,Uniconnect Srl,14,3,0,0
47152,Francesco Ascione trading as FIBERSIX,14,1,16,3
42764,Arpitel s.r.l.,14,6,0,0
42425,PSA S.r.l.,14,44,0,0
29177,Acantho S.p.a,14,24,3,1
21333,IN.VA. S.p.A.,14,3,0,0
212417,MORDACCHINI SRL,14,11,7,1
209624,COMMON NET S.r.l.,14,1,8,1
205385,SPEEDNETWEB S.R.L.,14,11,8,1
199162,Wifinetcom srl,14,2,0,0
197835,Fusolab onlus,14,2,6,2
15589,IRIDEOS S.P.A.,14,38,1,2
58088,Italo Morellati trading as NETREALITY di Morellati Italo,13,2,8,1
205727,Aruba S.p.A.,13,4,1,1
60943,FIBERLAND SRLS,12,2,7,1
52030,Server Plan S.r.l.,12,16,7,1
214443,BE BYTE SRL,12,1,9,1
21034,Micso Srl,12,9,7,1
206732,Lo Conte WiFi s.r.l.,12,5,8,1
201502,JCOM Telecomunicazioni s.c.a r.l.,12,32,6,1
62009,INFORMATICA SYSTEM S.R.L.,11,2,11,2
60783,WITECNO S.R.L.,11,3,1,2
56376,ALIDA SRL,11,9,0,0
5397,CINECA CONSORZIO INTERUNIVERSITARIO,11,2,0,0
41827,Vipnet.it S.r.l.,11,7,8,2
213089,Lorusso Salvatore trading as Vitalbanet S.A.S,11,8,0,0
209992,Telweb s.r.l.,11,12,0,0
207739,FLONET SRLS,11,2,0,0
20746,Telecom Italia S.p.A.,11,328,1,6
207227,Bootstrap srl,11,2,8,2
205850,WI-FI Cannavo',11,1,0,0
205051,Connetta Srl,11,15,0,0
204482,Epiclink SRL,11,2,0,0
200818,CONNEXTRA S.R.L,11,6,7,1
56754,Foxtel Srl,10,3,0,0
43185,RESO' SRL,10,1,0,0
42176,GOLDBET BETTER ORGANIZATION ITALY S.P.A. IN BREVE GBO ITALY S.P.A.,10,4,0,0
35131,Ydea s.r.l.,10,2,0,0
2597,Consiglio Nazionale delle Ricerche,10,5,7,13
212696,Wicomm SRLS,10,1,7,1
210144,ZADEA SRL,10,2,9,1
209631,CONSORZIO TOP IX - TORINO E PIEMONTE EXCHANGE POINT CC,10,3,0,0
209529,WIBER NET SRL,10,8,0,0
209246,Vicariato di Roma,10,1,0,0
206355,Speednet srl,10,2,2,1
203089,Link Space SRL,10,6,0,0
202339,SINET SRL,10,1,0,0
202146,A.R.C. Rete 101 S.r.l.,10,4,7,1
201847,Elektronica Sistemi Di Muro Mauro E Turcinovic Walter S.n.c.,10,10,7,2
201722,NEXT SRL,10,7,2,4
200148,FIDOKA SRL,10,14,0,0
198257,Easy Tech Solution SRL,10,5,5,9
198240,Piccolo Andrea trading as Digisat,10,1,0,0
51616,Windsl S.r.l.,9,9,0,0
51300,Telecomunicazioni digitali Fastalp S.R.L.,9,20,0,0
50627,Frosinone Wireless S.R.L.,9,7,0,0
43625,Wi-Fi System di GianCarlo Forno,9,3,0,0
42669,CITTA' STUDI S.P.A.,9,1,9,1
41644,Emisfera Societa' Cooperativa,9,2,0,0
209301,AIRNET S.R.L.S.,9,1,0,0
208516,CANNARELLA SERGIO,9,5,7,1
205005,Micso s.r.l.,9,6,9,1
