ASN,Name,Adjacencies v4,Routes v4,Adjacencies v6,Routes v6
56882,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,16,14,0,0
47806,Telecondado SL,16,6,0,0
6739,"VODAFONE ONO, S.A.",15,156,2,2
43885,INSTAL MATEL SL,15,13,6,2
208103,ZONA ENERGIA S.L.,15,3,0,0
203212,"WIRELESS COMMUNICATION, S.L.",15,3,0,0
210847,"Alcala Wifi, SL",14,4,0,0
20815,GRN Serveis Telematics SL,14,16,0,0
208070,TILYTEL Business S.L.,14,4,0,0
205375,Jose Antonio Ruiz Zamore,14,4,0,0
204854,"ACM IPNETWORK LA PALMA, S.L.",13,4,0,0
200937,"NOVATIO COMUNICACIONES AVANZADAS, S.L.",12,5,0,0
13041,Consorci de Serveis Universitaris de Catalunya,11,9,8,2
21057,Servicios Audiovisuales Overon S.L.,10,22,1,1
16030,"FIBRACAT Telecom, S.L.U.",10,55,2,2
201942,Soltia Consulting SL,9,91,0,0
197712,"10dencehispahard, S.L.",9,6,0,0
33932,"Minorisa de Sistemas Informaticos y de Gestion, S.L.",8,9,4,1
213138,Alfa Network SL,8,6,3,2
201553,Vola los del Internet S.L.,8,9,0,0
16371,"acens Technologies, S.L.",8,109,5,1
12334,"R Cable y Telecable Telecomunicaciones, S.A.U.",8,39,3,8
50977,"AVATEL TELECOM, SA",7,22,0,0
49638,Consorci de Serveis Universitaris de Catalunya,7,1,6,1
39551,Centre de Telecomunicacions i Tecnologies de la Informacio de la Generalitat de Catalunya,7,93,1,1
30892,DEUTSCHE TELEKOM GLOBAL BUSINESS SOLUTIONS IBERIA SL,7,12,3,2
29231,Grupalia Internet S.A.,7,2,0,0
212190,"PISTA CERO, S.L.",7,2,6,1
206101,"EPIC SOLUTIONS, S.L.",7,4,0,0
202636,Invermae Solutions SL,7,29,0,0
9165,PROSODIE IBERICA SL,6,5,0,0
212097,VIM TELECOMUNICACIONES SL,6,26,0,0
200165,Asac Comunicaciones S.L.,6,14,2,2
198479,Nunsys SA,6,19,0,0
15919,Servicios de Hosting en Internet S.A.,6,7,6,2
12946,"R Cable y Telecable Telecomunicaciones, S.A.U.",6,20,3,5
60314,Institut Municipal d'Informatica (IMI),5,1,0,0
5505,VADAVO SOLUCIONES SL,5,9,4,1
51007,Servicios Audiovisuales Overon S.L.,5,17,3,2
43618,INFORCELRA SL,5,7,0,0
42220,TREVENQUE SISTEMAS DE INFORMACION S.L.,5,3,2,1
31082,"Valor Information Technologies, S.L.",5,3,0,0
25354,Entidad Publica Empresarial Red.es,5,3,5,3
209281,"Generacion Tecnologica De Comunicaciones, Sociedad Limitada.",5,19,1,2
208586,Neotel 2000 S.L,5,4,0,0
206818,Zilean Solutions SL,5,7,0,0
206404,ALTERCOM-21 SL,5,2,0,0
203600,"VIVAFIBRA TELECOMUNICACIONES, S.L.",5,15,3,1
202915,CUSTOS messium SLNE,5,1,2,1
201453,Nostravant S.L.L.,5,28,2,10
197483,SYSAD IT SERVICES SL,5,1,0,0
9192,LleidaNetworks Serveis Telematics S.A.,4,8,0,0
8311,Redestel Networks S.L.,4,16,0,0
62352,XFERA Moviles S.A.,4,33,0,0
60667,"COMUNISTONE, S.L.",4,6,2,1
59723,"Vaecom Telecomunicaciones, SL",4,10,0,0
50926,"AXARNET COMUNICACIONES, S.L.",4,55,4,8
49635,CLOUDI NEXTGEN SL,4,81,0,0
48427,VISOVISION S.L.,4,39,0,0
44585,Efor Global Technology SL,4,13,0,0
43919,Alliance Healthcare Espana S.A.,4,3,2,2
39155,JETNET WIMAX S.A,4,87,0,0
35171,Uniway Technologies SL,4,14,0,0
34285,Sociedad Andaluza para el Desarrollo de las Telecomunicaciones S.A.,4,20,0,0
31577,AIRE NETWORKS DEL MEDITERRANEO SL UNIPERSONAL,4,76,2,1
31262,EDICOM CAPITAL S.L.,4,3,0,0
30937,Walhalla Data Center Services SL,4,6,0,0
25285,Boletin Oficial del Estado,4,1,0,0
212536,"Nexis Tecnologias de la Informacion, S.L",4,3,0,0
211444,Fatima Cuenca,4,34,1,15
211441,BYFITEL COMUNICACIONES SL,4,2,4,1
210593,APROOP TELECOM S.L.U,4,7,0,0
20973,"ABBAS SERVICIOS DE INFORMATICA Y TELECOMUNICACIONES, S.L.",4,2,0,0
209703,"Experientia Systems, SL",4,4,0,0
209087,Oeste Digital S.L.,4,45,0,0
206866,"GARTEL, TELEFONIA Y COMUNICACION, S.L.",4,29,4,1
205624,Telecomunicaciones Publicas Andaluzas S.L.,4,51,1,1
202853,GRUP KOUTEN COMUNICACIONS SL,4,3,0,0
202654,Acerko Telecom S.L.,4,7,0,0
202125,ACACIO SERVICIOS TELEMATICOS S.L.,4,11,0,0
202005,"Corporacion Alimentaria Guissona, S.A",4,12,0,0
201446,Soluciones web on line s.l.,4,40,1,1
198934,ADJENET NETWORKS SL,4,6,0,0
16383,IT Now S.A.,4,22,0,0
8318,CEMEX ESPANA S.A.,3,2,0,0
64397,EUROMADI IBERICA SA,3,2,0,0
62064,Closeness S.L.,3,48,0,0
60458,Xtudio Networks S.L.U.,3,45,0,0
57970,OLE COMUNICACION S.L.,3,30,0,0
57929,Octanio Sistemas Informaticos SL,3,1,0,0
57656,ALTIA CONSULTORES S.A.,3,14,2,1
56822,Universal Telecom Experts S.L,3,2,0,0
56571,HISPANICA DE TELECOMUNICACIONES Y SERVICIOS INTEGRALES S.L.,3,23,0,0
51678,"AYESA IBERMATICA, SAU",3,26,1,1
51621,Infoself Sistemes SL,3,3,0,0
51294,"HUBARA hosting solutions, S.L.",3,1,0,0
51151,"Comunicaciones Enersol, S.L.",3,25,0,0
50429,ATOS Spain SA,3,6,0,0
49576,RED ELECTRICA DE ESPANA S.A.U.,3,19,0,0
48884,"Linea Directa Aseguradora, S.A.",3,6,0,0
48697,Amadeus Soluciones Tecnologicas S.A.,3,1,0,0
47756,UNICABLE TELECOMUNICACIONES A.I.E,3,15,0,0
47164,Manuel Lozano Ruiz,3,5,0,0
44762,AXESOR CONOCER PARA DECIDIR SA,3,1,0,0
44717,Videoluc S.A.,3,3,0,0
44278,GRANACABLE S.L,3,4,0,0
44127,J&A GARRIGUES S.L.,3,3,0,0
43697,Govern de les Illes Balears,3,4,0,0
43520,Meytel Publicidad S.L.,3,1,0,0
41721,Cartagon AX Cloud SL,3,31,0,0
41488,Infoestructura SA,3,2,0,0
41397,Redes Digitales de Telecomunicacion en Internet SL,3,4,0,0
39780,Indra Soluciones Tecnologias de la Informacion SL,3,3,0,0
39738,Telecom Castilla La Mancha SA,3,2,0,0
35461,ACCIONA S.A.,3,4,0,0
31428,"Compania De Distribucion Integral Logista, SA",3,1,0,0
31346,"Datadec Online, S.A.",3,7,0,0
30939,INGENIERIA DE SISTEMAS PARA LA DEFENSA DE ESPANA SA,3,1,0,0
29397,ENTERPRISE SOLUTIONS OUTSOURCING ESPANA SL,3,1,0,0
28971,D-MOBILELAB SPAIN S.A.,3,1,0,0
25267,Colegio de Registradores de la Propiedad y Mercantiles de Espana,3,1,0,0
25259,Servicios Audiovisuales Overon S.L.,3,7,0,0
215856,"Fabertelecom, SL",3,1,0,0
215488,PARQUE TECNOLOGICO TEKNOLOGI ELKARTEGIA S.A.,3,1,3,1
212932,Wimax Redes de Nueva Generacion S.L.U,3,4,0,0
211969,SERVICIOS DE TELECOMUNICACIONES ALIFORNIA S.L.,3,2,1,1
210791,ASPWIFI S.L.,3,17,0,0
210771,SETEL CONECTA S.L.,3,6,0,0
210472,Parlem Telecom Companyia de Telecomunicacions SA,3,12,0,0
210395,INTERNET MANTENIMIENTOS SL,3,4,0,0
210158,AGENCIA PARA LA ADMINITRACION DIGITAL DE LA COMUNIDAD DE MADRID,3,9,0,0
209492,INFORMATICA Y TELECOMUNICACIONES SARRIA S.L.,3,23,0,0
209365,"Brutalsys, S.L.",3,6,3,5
209344,ENA Operador de Telecomunicaciones S.L.,3,7,0,0
209311,VERITA NETWORKS SOCIEDAD LIMITADA,3,6,0,0
209287,INNOVACION RIOJANA DE SOLUCIONES IT S.L.,3,2,0,0
208597,NAVARRA DE SERVICIOS Y TECNOLOGIAS S.A.,3,3,2,1
208288,Wipone telecomunicaciones SL,3,14,0,0
20784,"Cecabank,S.A.",3,1,0,0
207747,"IAAS 365, SL",3,4,3,3
207122,Partido Socialista Obrero Espanol (PSOE),3,4,0,0
207046,Xtudio Networks S.L.U.,3,23,0,0
206945,Robert Michael Span,3,8,0,0
206565,"IKAI Tecnologias Avanzadas, S.L.",3,6,0,0
206366,Rural Telecom SL,3,15,0,0
206102,"Advanced Software Production Line, S.L.",3,4,0,0
205827,ConectaT Servicios de Banda Ancha SL,3,5,0,0
205645,"MESWIFI, SL",3,3,1,1
205506,Seidor Soluciones Globales SL,3,7,2,1
204817,"Netcan Technologies, S.L.",3,4,2,2
204748,INDUSTRIA DE DISENO TEXTIL SOCIEDAD ANONIMA,3,3,0,0
204741,AIRSAT COMUNICACIONES S.L.,3,14,1,1
204643,El Corte Ingles S.A.,3,8,0,0
204621,WIRELESS LOGIC S.L.,3,2,0,0
204563,NexTReT S.L.,3,2,0,0
204555,"DIGITAL MEDIA GROWING CLOUD, SL",3,3,0,0
204189,VideoLuc S.A,3,3,3,1
