Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
Circlenet LLP,http://,49490,Open,195.66.224.145,2001:7f8:4::c152:1,dc2c.6e22.aa21,Telehouse North (THN),edge6-thn xe-1/0/18,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Exponential-e Ltd,http://www.exponential-e.com/,25180,Selective,206.55.196.21,2001:504:31::625c:1,9ce0.4168.e624,Equinix DC2 (EQA),edge2-eqa-nva1 ethernet-1/3/2 VLAN: 1895,ConneXions,1000,ConneXions,LINX NoVA,full,,,
MAINSTREAMING S.P.A,https://mainstreaming.tv,51185,Open,195.66.227.90,2001:7f8:4::c7f1:1,4c77.6da9.b9b1,Telehouse West (THW),core4-thw et-3/3/3,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
G-Core Labs S.A.,http://www.gcore.lu,199524,Selective,195.66.226.171,2001:7f8:4::3:b64:2,bc2c.e69a.8f8a,Telehouse West (THW),core3-thw et-3/3/3,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
UK Servers,http://www.ukservers.com,42831,Open,195.66.225.162,2001:7f8:4::a74f:1,60c7.8d36.099a,Telehouse North (THN),edge5-thn 1/1/c13/1,400G,400000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.236.54,2001:7f8:4:1::f25c:4,c4ca.2bff.d857,Equinix LD4 (EQ4),edge5-eq4-lon2 ce5/1,100G,100000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Convergenze S.p.A,http://www.convergenze.it,39120,Open,195.66.227.87,2001:7f8:4::98d0:1,4c5e.0c13.cc28,Telehouse North (THN),edge6-thn xe-4/0/15,10G,10000,Carrier,LINX LON1,full,rs1.lon1,rs3.lon1,
Hughes Network Systems Ltd,https://europe.hughes.com/,12440,Open,195.66.227.226,2001:7f8:4::3098:1,0042.6857.d400,Interxion LON2 (IN2),core3-in2 xe-3/0/14,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
PT Jala lintas Media,http://www.jlm.net.id,55685,Open,195.66.231.38,2001:7f8:4::d985:1,4c73.4f8a.6a27,Telehouse North (THN),core4-thn et-2/2/3 VLAN: 3500,ConneXions,2000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Riot Games Ltd,http://www.riotgames.com,6507,Selective,null,null,,Digital Realty Cloud House West (TCM),edge2-tcm 1/x1/1/c5/2,,10000,Regular,LINX LON1,full,,,
Addooco IT Limited,http://,205120,Open,195.66.236.47,2001:7f8:4:1::3:2140:1,f0db.3002.755c,Telehouse North (THN),edge6-thn-lon2 xe4,10G,10000,Regular,LINX LON2,full,,,
Addooco IT Limited,http://,205120,Open,null,null,f0db.3002.755c,Telehouse North (THN),edge6-thn xe-4/0/12,10G,10000,Regular,LINX LON1,full,,,
AT&T Global Network Services (UK) BV - Branch,http://www.att.com/globalnetworking/,2686,Selective,195.66.224.27,2001:7f8:4::a7e:1,80a2.3513.f8d6,Telehouse North (THN),core3-thn et-3/3/1,100G,100000,Regular,LINX LON1,full,,,
TikTok Technology Limited,https://www.tiktok.com/,396986,Selective,195.66.227.20,2001:7f8:4::6:eba:2,c4ca.2b80.f917,Equinix LD6 (EQ4),edge1-eq4 1/1/c7/1,400G,400000,Regular,LINX LON1,full-jedix_customer,rs3.lon1,rs1.lon1,
Arrow Business Communications Ltd,http://,48954,Open,195.66.231.19,2001:7f8:4::bf3a:1,2c5a.0f9e.bdc0,Telehouse North (THN),edge6-thn xe-6/0/5,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Prime Telecom,https://www.primetelecom.ro,39737,Selective,195.66.227.138,2001:7f8:4::9b39:1,001d.b5a7.07f0,Telehouse North (THN),core3-thn ae222 VLAN: 2500,ConneXions,3000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
