Organisation Name,Website,ASN,Peering Policy,IPv4 Address,IPv6 Address,MAC Address,Location,Switch Port and VLAN,Port Type,Service Speed,Service Type,Peering LAN,Membership Type,Route Servers,,
Lit Fibre Ltd,http://,211597,Open,195.66.231.158,2001:7f8:4::3:3a8d:2,3c08.cd8f.1145,Telehouse West (THW),core3-thw xe-5/0/16,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Lepida SpA,http://www.lepida.it/,31638,Open,195.66.226.103,2001:7f8:4::7b96:1,0017.a37b.9680,Telehouse North (THN),core4-thn et-2/2/1 VLAN: 2065,ConneXions,3000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Telecall USA,http://www.telecall.com,62663,Open,195.66.231.91,2001:7f8:4::f4c7:1,a80c.0d38.1030,Telehouse North (THN),edge6-thn ae230 VLAN: 3303,ConneXions,200,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Kantonsschule Zug,https://as34288.net/,34288,Open,195.66.225.86,2001:7f8:4::85f0:1,0031.460d.f6bb,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 751,ConneXions,500,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
NFON AG,http://www.nfon.com,8878,Selective,195.66.227.76,2001:7f8:4::22ae:1,8071.1ff0.9fc3,Telehouse West (THW),core3-thw ae202 VLAN: 605,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Unchained ISP,https://www.unchainedisp.net/,209505,Open,195.66.227.251,2001:7f8:4::3:3261:1,2004.0f1d.d0cf,Telehouse North (THN),core4-thn xe-3/0/17,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Clouvider Limited,https://www.clouvider.co.uk,62240,Open,195.66.244.12,2001:7f8:4:2::f320:1,8890.097b.07f0,Equinix MA1 Williams House (TCW),edge8-tcw-man1 ce24/1 VLAN: 1006,ConneXions,20000,ConneXions,LINX Manchester,ConneXions-full,rs1.man1,,
Addax Telecom,http://,273527,Open,195.66.231.183,2001:7f8:4::4:2c77:1,3c54.4710.4eee,Interxion LON2 (IN2),core3-in2 et-2/2/3 VLAN: 518,ConneXions,300,ConneXions,LINX LON1,full,,,
Bletchley Networks Limited,http://,199716,Open,195.66.231.95,2001:7f8:4::3:c24:1,3c08.cdde.a7c0,Telehouse North (THN),edge6-thn xe-5/0/19,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
HighSpeed Office Limited,http://www.hso.co.uk,39326,Selective,195.66.246.39,2001:7f8:4:3::999e:1,d8b1.224b.f234,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe28,10G,10000,Regular,LINX Scotland,ConneXions-full,,,
Arelion,http://www.teliacarrier.com/,1299,Restrictive,195.66.227.163,2001:7f8:4::513:1,b402.163b.24aa,Telehouse North (THN),core3-thn ae211 VLAN: 3,ConneXions,100,ConneXions,LINX LON1,ConneXions-full,,,
RG da Silveira LTDA,http://www.conectprime.net.br,262725,Open,195.66.231.164,2001:7f8:4::4:245:1,c0f6.c282.c5be,Interxion LON2 (IN2),core3-in2 et-2/2/3 VLAN: 504,ConneXions,1000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Global Secure Layer,http://,137409,Open,195.66.231.9,2001:7f8:4::2:18c1:1,e8ae.c528.57a7,Telehouse North (THN),core4-thn et-4/0/0,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Belcenter,http://,31449,Open,195.66.231.64,2001:7f8:4::7ad9:1,cc46.d6dd.be01,Telehouse North (THN),core4-thn et-2/2/0 VLAN: 254,ConneXions,250,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
LMAX Digital Exchange,http://www.lmaxdigital.com,39498,,195.66.225.101,2001:7f8:4::9a4a:1,fcbd.67b7.7d99,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c10/2,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Fibre Assets Ltd,http://,205975,Open,195.66.231.122,2001:7f8:4::3:2497:2,9c5a.8025.1577,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c12/1,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
UK-2 Ltd.,http://www.uk2.net/,13213,Open,195.66.226.9,2001:7f8:4::339d:2,f4bf.a870.70c0,Interxion LON2 (IN2),core3-in2 et-2/0/3,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
OVH SARL,http://www.ovh.com,16276,Open,195.66.225.6,2001:7f8:4::3f94:2,7c31.0e7f.9cda,Digital Realty Cloud House West (TCM),edge2-tcm 2/x1/1/c1/1,400G,400000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
YouFibre Limited,http://www.youfibre.com,212655,Open,195.66.244.173,2001:7f8:4:2:0:3:3eaf:1,b0a6.51f8.ee93,Equinix MA1 Williams House (TCW),edge8-tcw-man1 ce19/1,100G,100000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
VoiceHost Ltd,http://www.voicehost.co.uk,31472,Open,195.66.244.1,2001:7f8:4:2::7af0:1,4c77.6de6.2020,Equinix MA1 Williams House (TCW),edge6-tcw-man1 xe28,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
Hong Kong Broadband Network Ltd,http://hkbn.net,9269,Selective,195.66.224.163,2001:7f8:4::2435:1,b4fb.f9df.a46c,Telehouse North (THN),edge6-thn xe-2/1/10,10G,10000,Regular,LINX LON1,full,,,
Imaging Bay Inc,http://,399606,Open,195.66.231.59,2001:7f8:4::6:18f6:1,9eb9.d2e0.cff3,Equinix LD8 Harbour Exchange (TCH),core4-tch et-2/0/2 VLAN: 39,ConneXions,500,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Blacknight Internet Solutions Limited,http://www.blacknight.com,39122,Open,195.66.226.97,2001:7f8:4::98d2:1,f0d7.af2a.aaaa,Digital Realty Cloud House West (TCM),edge2-tcm 1/x1/1/c1/2,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Securus Communications Ltd,http://www.securuscomms.co.uk,59659,Open,195.66.239.179,2001:7f8:4:1::e90b:1,a8b4.56e3.a37f,Telehouse North (THN),edge2-thn-lon2 xe34,10G,10000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Iomart Managed Services Limited.,http://www.rapidswitch.com/,20860,Selective,195.66.224.207,2001:7f8:4::517c:1,b08b.d08d.10ec,Telehouse North (THN),core3-thn et-3/4/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Voicenet Solutions Ltd,http://www.voicenet-solutions.com,44965,Open,195.66.226.77,2001:7f8:4::afa5:1,609c.9f58.7636,Interxion LON2 (IN2),core3-in2 xe-3/0/3,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Clearstream Group,http://www.clearstreamgroup.co.uk/,59455,Open,195.66.231.21,2001:7f8:4::e83f:2,e443.4b38.8482,Telehouse North (THN),core4-thn xe-3/1/11,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Community Fibre,http://www.communityfibre.co.uk,201838,Open,195.66.236.3,2001:7f8:4:1::3:146e:2,b0a6.5166.f83c,Equinix LD4 (EQ4),edge3-eq4-lon2 ce25/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Saudi Telecom Company (STC),http://www.stc.com.sa/,39386,Selective,185.1.126.2,2001:7f8:d1::99da:1,327c.5ee2.e890,MENA Gateway (MG1).(STJ),edge3-stj-jed1 ce1/1,100G,100000,Regular,Jeddah IX,full-jedix_customer,rs2.jed1,rs1.jed1,
Celeste,https://celeste.fr/,34177,Open,195.66.226.94,2001:7f8:4::8581:1,f86b.d984.6214,Telehouse North (THN),core4-thn et-2/2/1 VLAN: 2795,ConneXions,20000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Future Publishing Ltd,http://www.futureplc.com,20596,Open,195.66.254.12,2001:7f8:4:4::5074:1,80ac.ac39.07c0,Newport(NGD),edge1-ngd.car1 0/25,10G,10000,Regular,LINX Wales,full,rs1.car1,rs2.car1,
Forcepoint Cloud Limited,http://www.forcepoint.com/,44444,Selective,206.55.196.25,2001:504:31::ad9c:2,e0f6.2d82.77f0,Digital Realty IAD39 (DRT),edge1-drt-nva1 ethernet-1/9,100G,100000,Regular,LINX NoVA,full,,,
F5 NETWORKS SARL,https://www.f5.com,35280,Selective,195.66.225.161,2001:7f8:4::89d0:1,44ec.ceee.d0ca,Equinix LD6 (EQ4),edge1-eq4 5/1/c25/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
County Broadband Ltd,http://www.countybroadband.co.uk,51263,Open,195.66.226.174,2001:7f8:4::c83f:1,f4bf.a8f3.c07f,Telehouse North (THN),edge6-thn xe-1/1/12,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
HKBN Enterprise Solutions HK Limited (HKBNES),http://www.wharftt.com/,9381,Selective,195.66.227.26,2001:7f8:4::24a5:1,34db.fd05.2295,Telehouse North (THN),core3-thn ae204.0 VLAN: 1685,ConneXions,3000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Sunrise,http://www.sunrise.net/,6730,Selective,195.66.224.85,2001:7f8:4::1a4a:1,6008.1061.5ebc,Telehouse North (THN),edge6-thn xe-4/0/20,10G,10000,Regular,LINX LON1,full,,,
YouFibre Limited,http://www.youfibre.com,212655,Open,195.66.246.30,2001:7f8:4:3:0:3:3eaf:1,3488.180a.1e51,Pulsant Edinburgh (PUE),edge4-pue-sco1 ce3/1,100G,100000,Regular,LINX Scotland,full,rs2.sco1,rs1.sco1,
Grayshott Gigabit Limited,http://,210627,,195.66.239.218,2001:7f8:4:1:0:3:36c3:1,2cc8.1b8e.034d,Telehouse North (THN),edge6-thn-lon2 xe14,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Exascale,http://www.exascale.co.uk,61049,Selective,195.66.244.58,2001:7f8:4:2::ee79:1,cc16.7e24.8fc0,TeleData Delta House (TDD),edge3-tdd-man1 xe15,10G,10000,Regular,LINX Manchester,ConneXions-full,rs1.man1,rs2.man1,
Netskope UK Ltd,https://www.netskope.com,55256,Selective,195.66.244.235,2001:7f8:4:2::d7d8:2,fcbd.675d.c25d,TeleData Delta House (TDD),edge4-tdd-man1 ce1/1,100G,100000,Regular,LINX Manchester,full,rs2.man1,rs1.man1,
Wispone SRL,http://www.wispone.it,60822,Open,195.66.226.2,2001:7f8:4::ed96:1,d477.9887.83f9,Equinix LD8 Harbour Exchange (TCH),core3-tch et-2/4/3 VLAN: 103,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
White2net SRL,https://white2net.com,209768,Open,195.66.231.97,2001:7f8:4::3:3368:1,c4ca.2b59.cc13,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 1235,ConneXions,1000,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Tenet,http://www.tenet.ac.za,36944,Open,196.60.114.15,2001:43f8:16d0::9050:1,3c8a.b034.576a,Africa Data Centre (ADN),edge1-adn-nai1 ethernet-1/2/2,10G,10000,Regular,LINX Nairobi,full,rs2.nai1,rs1.nai1,
Vodafone UK Limited,https://www.vodafone.co.uk/,5378,Selective,195.66.246.100,2001:7f8:4:3::1502:1,0032.17bb.60dc,Pulsant Edinburgh (PUE),edge3-pue-sco1 xe26,10G,10000,Regular,LINX Scotland,full,,,
Gulfnet Communications Co,http://www.gulfnet.com.kw,3225,Open,195.66.224.80,2001:7f8:4::c99:2,001b.0de6.fe00,Telehouse North (THN),core4-thn et-2/2/1 VLAN: 2106,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
PBX Hosting Ltd,http://www.pbxhosting.co.uk,50823,Open,195.66.226.15,2001:7f8:4::c687:1,2c5a.0fa7.9863,Telehouse East (THE),edge1-the 2/x1/1/c6/1,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Digitalk Limited,http://,62417,Open,195.66.236.58,2001:7f8:4:1::f3d1:1,4c5e.0c13.e4c0,Telehouse West (THW),edge1-thw-lon2 xe21,10G,10000,Regular,LINX LON2,full,,,
Zscaler Inc,http://www.zscaler.com,62044,Open,195.66.244.143,2001:7f8:4:2::f25c:3,,Lunar Digital (LUR),edge1-lur-man1 ce7/1,,100000,Regular,LINX Manchester,full,,,
Redcentric Solutions Limited,http://www.redcentricplc.com/,13009,Open,195.66.238.54,2001:7f8:4:1::32d1:1,5087.895b.d3d9,Telehouse North (THN),edge2-thn-lon2 xe20,10G,10000,Regular,LINX LON2,ConneXions-full,rs4.lon2,rs2.lon2,
Jandu Technologies Ltd,http://,214463,,195.66.244.131,2001:7f8:4:2::3:45bf:1,e0c8.bc07.6565,TeleData Delta House (TDD),edge3-tdd-man1 xe14,,10000,Regular,LINX Manchester,full,,,
Domicilium (IOM) Ltd.,http://www.domicilium.com,15766,Open,195.66.244.55,2001:7f8:4:2::3d96:3,0881.f485.a398,Equinix MA1 Williams House (TCW),edge6-tcw-man1 xe33,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
BCS Group,http://www.bcs-ea.com,37273,Open,195.66.237.195,2001:7f8:4:1::9199:1,20e0.9cc7.4bd9,Telehouse East (THE),edge2-the-lon2 xe19,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
NEAR IP- LTD,http://nearip.com,49600,Open,195.66.224.63,2001:7f8:4::c1c0:1,185b.0088.fd4e,Equinix LD6 (EQ4),edge1-eq4 4/1/c33/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Vision247 Ltd,http://www.vision247.tv,43323,Open,195.66.224.211,2001:7f8:4::a93b:2,0008.e3ff.fc28,Telehouse East (THE),edge1-the 1/x1/1/c8/1,10G,10000,Regular,LINX LON1,full,,,
Telekom Serbia,http://www.telekom.rs,8400,Selective,195.66.225.166,2001:7f8:4::20d0:1,561e.56ae.cc92,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c1/3,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Eze Castle Integration UK Limited,http://www.eci.com,14717,Open,195.66.226.3,2001:7f8:4::397d:1,50f7.2280.48c9,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c9/3,10G,10000,Regular,LINX LON1,full,,,
Connect Managed Services (UK) Limited,http://www.g3comms.com,198781,Selective,195.66.226.64,2001:7f8:4::3:87d:1,2c4c.155f.d4e2,Telehouse North (THN),edge6-thn xe-1/1/14,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Witine Ltd,http://www.witine.com,58007,Open,195.66.231.40,2001:7f8:4::e297:1,90e2.baa9.94f0,Telehouse North (THN),edge6-thn xe-1/1/13 VLAN: 10,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Nova hf,http://www.nova.is,44735,Selective,195.66.225.28,2001:7f8:4::aebf:1,001a.f013.0000,Telehouse North (THN),core4-thn et-4/1/0,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Scotnet.co.uk Ltd,http://www.scotnet.co.uk/,28757,Open,195.66.226.52,2001:7f8:4::7055:2,1423.f2c3.fd81,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c3/3,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Beeks Financial Cloud,https://www.beeksfinancialcloud.com/,206934,Open,195.66.225.225,2001:7f8:4::3:2856:1,2899.3afb.cfd0,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c13/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
IP-Max,http://www.ip-max.net,25091,Open,195.66.225.82,2001:7f8:4::6203:1,0042.5a9f.c5ed,Equinix LD6 (EQ4),edge2-eq4 1/x1/1/c9/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
G.Network Communications,http://www.g.network,202596,Open,195.66.236.7,2001:7f8:4:1::3:1764:1,20cf.aee4.d4f9,Telehouse West (THW),edge4-thw-lon2 ce2/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
AFR-IX Telecom,http://afr-ix.com/,60171,Selective,196.60.114.4,2001:43f8:16d0::eb0b:1,70e4.2233.962e,Africa Data Centre (ADN),edge1-adn-nai1 ethernet-1/1/3,10G,10000,Regular,LINX Nairobi,full,rs2.nai1,rs1.nai1,
Eircom Ltd,http://www.eircom.ie/,5466,Open,195.66.224.14,2001:7f8:4::155a:2,5040.616f.eb5f,Telehouse West (THW),core3-thw et-2/1/2,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
FidoNet Registration Services Ltd,http://www.fido.net/,8282,Open,195.66.237.155,2001:7f8:4:1::205a:1,ec7c.5c1a.4f6c,Telehouse East (THE),edge2-the-lon2 xe7 VLAN: 2126,ConneXions,2000,ConneXions,LINX LON2,ConneXions-full,rs2.lon2,rs4.lon2,
No One Internet Ltd,https://noone.co.uk/,49375,Open,195.66.224.36,2001:7f8:4::c0df:1,fc0a.81f9.a015,Interxion LON2 (IN2),core3-in2 xe-3/0/7 VLAN: 900,ConneXions,9000,ConneXions,LINX LON1,ConneXions-full,rs3.lon1,rs1.lon1,
Direct Telecom,http://,264997,Open,195.66.231.165,2001:7f8:4::4:b25:1,d4d5.1b54.b5e6,Interxion LON2 (IN2),core3-in2 et-2/2/3 VLAN: 517,ConneXions,500,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
GlobalConnect AB,http://www.ip-only.net,12552,Open,195.66.224.142,2001:7f8:4::3108:1,0c86.10a6.33c2,Telehouse East (THE),edge1-the 2/x1/1/c2/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Clouvider Limited,https://www.clouvider.co.uk,62240,Open,195.66.239.14,2001:7f8:4:1::f320:1,44aa.5055.07f5,Telehouse North2 (TH2),edge1-th2-lon2 xe7 VLAN: 3500,ConneXions,1000,ConneXions,LINX LON2,ConneXions-full,,,
Kaopu Cloud HK Limited,https://www.kaopuyun.com/,138915,Open,185.0.37.9,2001:7f8:150::2:1ea3:2,a451.5ef8.8ff8,STC Ar Rimal RDC102,edge2-str-riy1 ethernet-1/15,100G,100000,Regular,Riyadh IX,jedix_customer,rs1.riy1,rs2.riy1,
Qwilt Inc.,http://,20253,Selective,195.66.244.141,2001:7f8:4:2::4f1d:2,3488.180a.1908,Equinix MA1 Williams House (TCW),edge8-tcw-man1 ce7/1,100G,100000,Regular,LINX Manchester,full,rs2.man1,rs1.man1,
TELIC TECHNOLOGIES,http://,53427,Open,195.66.231.76,2001:7f8:4::d0b3:1,fc33.42aa.fe00,Interxion LON2 (IN2),core3-in2 et-2/2/3 VLAN: 514,ConneXions,300,ConneXions,LINX LON1,full,rs3.lon1,rs1.lon1,
Latitude.sh,http://www.latitude.sh,396356,Open,195.66.224.59,2001:7f8:4::6:c44:1,1c9c.8c87.4335,Telehouse North (THN),edge6-thn xe-5/1/14,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Starhub Ltd,http://www.starhub.com,4657,Selective,195.66.226.196,2001:7f8:4::1231:1,1039.e92b.905f,Telehouse North (THN),core4-thn et-2/2/3 VLAN: 3453,ConneXions,5000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
VimpelCom PJSC,http://www.vimpelcom.com/,3216,Selective,195.66.224.205,2001:7f8:4::c90:1,2c21.312e.4bce,Telehouse East (THE),edge1-the 2/x1/1/c14/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
IP Integration,http://ipintergration.com,39208,Open,195.66.239.37,2001:7f8:4:1::9928:1,88d9.8fee.3027,Interxion LON2 (IN2),edge1-in2-lon2 xe10,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Cisco Systems Ltd,http://,36692,Open,195.66.225.70,2001:7f8:4::8f54:1,78fe.3db4.458e,Equinix LD6 (EQ4),edge1-eq4 5/1/c23/1,100G,100000,Regular,LINX LON1,full,,,
Future Publishing Ltd,http://www.futureplc.com,20596,Open,195.66.226.199,2001:7f8:4::5074:1,80ac.ac39.03e0,Equinix LD8 Harbour Exchange (TCH),core4-tch xe-3/1/11,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
SERVERNET INTERNET LIMITED,https://www.servernet.net,60439,Open,195.66.231.128,2001:7f8:4::ec17:1,fc59.c0eb.6475,Telehouse West (THW),core3-thw xe-4/0/14,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Cantona Retail Limited,http://www.callflowsolutions.com/,48101,Open,195.66.239.254,2001:7f8:4:1::bbe5:2,1039.e9b2.1770,Equinix LD4 (EQ4),edge5-eq4-lon2 ce2/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Sub 6 Limited,http://www.clook.net/,200083,Open,195.66.227.41,2001:7f8:4::3:d93:1,fc0a.81f9.cf15,Telehouse North (THN),core4-thn et-4/0/1 VLAN: 242,ConneXions,1000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Vereinigte Stadtwerke Media GMbH,http://,198930,Open,195.66.231.29,2001:7f8:4::3:912:1,e4fc.82e6.6850,Equinix LD8 Harbour Exchange (TCH),core4-tch ae211 VLAN: 512,ConneXions,10000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
i3D.net B.V.,http://www.i3d.nl,49544,Selective,195.66.236.96,2001:7f8:4:1::c188:1,f07c.c7af.4bdf,Telehouse North (THN),edge5-thn-lon2 ce12/1,100G,100000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
Telstra International Limited,http://www.telstraglobal.com/,4637,Selective,195.66.236.166,2001:7f8:4:1::121d:1,34ed.1b0c.1282,Telehouse North (THN),edge5-thn-lon2 ce8/1,100G,100000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Hyve,http://www.hyve.com,204167,,195.66.225.90,2001:7f8:4::3:1d87:1,a4e1.1a6f.739f,Telehouse North2 (TH2),edge2-th2 1/x1/1/c7/4,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Gamma Telecom Limited,http://www.gamma.co.uk,31655,Open,195.66.225.242,2001:7f8:4::7ba7:1,100e.7ec3.7fc0,Equinix LD8 Harbour Exchange (TCH),core4-tch et-2/5/2,100G,100000,Regular,LINX LON1,full,,,
NetIX Communications Limited,http://www.netix.net,57463,Selective,195.66.236.57,2001:7f8:4:1::e077:1,e000.84be.caab,Telehouse North (THN),edge5-thn-lon2 ce11/1,100G,100000,Regular,LINX LON2,ConneXions-full,rs2.lon2,rs4.lon2,
Pinnacom,http://www.pinnacom.com,44749,Open,195.66.239.212,2001:7f8:4:1::aecd:1,c4ad.345b.392a,Interxion LON2 (IN2),edge1-in2-lon2 xe20 VLAN: 2491,ConneXions,1000,ConneXions,LINX LON2,full,rs2.lon2,rs4.lon2,
China Telecom Global Ltd,http://www.chinatelecomglobal.com,23764,Selective,195.66.224.40,2001:7f8:4::5cd4:1,7c25.86b3.17c0,Equinix LD8 Harbour Exchange (TCH),core4-tch et-2/2/2,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Neterra,http://www.neterra.net/,34224,Open,195.66.225.156,2001:7f8:4::85b0:1,0015.c722.2180,Telehouse North (THN),core3-thn et-3/2/1 VLAN: 3014,ConneXions,4000,ConneXions,LINX LON1,full,rs1.lon1,rs3.lon1,
Sony Interactive Entertainment LLC,http://gaikai.com,33353,Selective,195.66.224.65,2001:7f8:4::8249:2,cee1.7f95.0ecb,Telehouse West (THW),core4-thw et-3/2/3,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
ServerChoice Ltd,http://,60672,Open,195.66.231.104,2001:7f8:4::ed00:1,fc96.4380.9c57,Telehouse East (THE),edge1-the 1/x1/1/c12/1,10G,10000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Cinos Limited,http://,207310,Open,195.66.227.181,2001:7f8:4::3:29ce:2,a84f.b18c.88c2,Telehouse North2 (TH2),edge2-th2 1/x1/1/c3/1,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
GSA CAPITAL SERVICES LIMITED,http://www.gsacapital.com,203372,Selective,195.66.231.175,2001:7f8:4::3:1a6c:2,985d.82b7.0420,Telehouse North (THN),edge6-thn xe-3/0/10,,10000,Regular,LINX LON1,full,,,
HM Revenue & Customs,http://www.hmrc.gov.uk,204222,Restrictive,195.66.239.45,2001:7f8:4:1:0:3:1dbe:1,8890.09ea.5142,Equinix LD4 (EQ4),edge2-eq4-lon2 xe13,10G,10000,Regular,LINX LON2,full,,,
Odyssey Systems Limited,http://www.odyssey-systems.co.uk,204558,Open,195.66.244.3,2001:7f8:4:2:0:3:1f0e:1,d884.66eb.1919,Equinix MA3 Joule House (TCJ),edge2-tcj-man1 xe34,10G,10000,Regular,LINX Manchester,full,rs1.man1,rs2.man1,
Datum Datacentres Limited,http://www.teledata.co.uk,43545,Open,195.66.224.195,2001:7f8:4::aa19:1,e48d.8c3f.6bf0,Telehouse North (THN),edge6-thn xe-1/1/11 VLAN: 403,ConneXions,1000,ConneXions,LINX LON1,ConneXions-full,rs1.lon1,rs3.lon1,
IG Index Ltd,http://www.iggroup.com/,30931,Selective,195.66.227.17,2001:7f8:4::78d3:1,ac3d.9474.7c26,Interxion LON2 (IN2),core3-in2 xe-3/0/5,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
Equinix,http://www.equinix.com/,15830,Selective,195.66.224.187,2001:7f8:4::3dd6:2,2e21.3122.ea16,Equinix LD8 Harbour Exchange (TCH),core3-tch et-3/0/3,100G,100000,Regular,LINX LON1,full,rs3.lon1,rs1.lon1,
Magrathea,http://www.magrathea-telecom.co.uk,31084,Open,195.66.237.11,2001:7f8:4:1::796c:1,5087.895b.6ed5,Telehouse East (THE),edge1-the-lon2 xe24,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Amatis Networks,http://www.amatisnetworks.com,34442,Open,195.66.225.135,2001:7f8:4::868a:1,a478.06a8.4530,Telehouse North (THN),core3-thn et-3/5/1,100G,100000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
I.T Communications Ltd,http://www.it-communicationsltd.co.uk,203416,Open,195.66.226.251,2001:7f8:4::3:1a98:1,807f.f854.c5f8,Digital Realty Sovereign House (RBS),edge3-rbs 1/x1/1/c3/2,10G,10000,Regular,LINX LON1,full,rs1.lon1,rs3.lon1,
VTSL Limited,http://www.vtsl.net,49415,Open,195.66.238.165,2001:7f8:4:1::c107:1,0cc4.7aeb.5d84,Interxion LON2 (IN2),edge1-in2-lon2 xe12,10G,10000,Regular,LINX LON2,full,rs2.lon2,rs4.lon2,
Community Network Center Inc,http://www.cnci.co.jp/,9354,Open,195.66.227.200,2001:7f8:4::248a:1,40ce.242b.927a,Telehouse East (THE),edge1-the 1/x1/1/c3/4,10G,10000,Carrier,LINX LON1,full,rs1.lon1,rs3.lon1,
KDDI Europe Ltd,http://www.eu.kddi.com,6894,Open,195.66.236.86,2001:7f8:4:1::1aee:1,5087.8911.9c62,Telehouse North2 (TH2),edge1-th2-lon2 xe6,1000,1000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
EdgeUno Inc,http://,7195,Selective,195.66.236.84,2001:7f8:4:1::1c1b:1,409e.a428.5e43,Telehouse North (THN),edge5-thn-lon2 ce5/1,100G,100000,Regular,LINX LON2,full,rs4.lon2,rs2.lon2,
