date, RIR, IPv4 adoption, IPv6 adoption
20240927, lacnic,  0.5288,  0.5300
20240927, ripencc,  0.6872,  0.3896
20240927, arin,  0.3607,  0.6362
20240927, apnic,  0.3547,  0.2383
20240927, afrinic,  0.3250,  0.1067
