ProviderID,asn,name,ipv6,ip_addresses
123,45177,Devoli,True,"2001:7fa:11:6:0:b079:0:1, 2001:7fa:11:6:0:b079:0:2, 43.243.21.12, 43.243.21.93"
123,56186,Digital Island,True,"2001:7fa:11:6:0:db7a:0:2, 43.243.21.5"
123,24183,DTS,True,"2001:7fa:11:6:0:5e77:0:1, 43.243.21.14"
123,138973,Earthlink Limited,True,"2001:7fa:11:6:2:1edd:0:1, 43.243.21.54"
123,141226,Engage Technology Ltd,True,"2001:7fa:11:6:2:27aa:0:1, 43.243.21.124"
123,18015,Fastcom Limited,True,"2001:7fa:11:6:0:465f:0:1, 43.243.21.37"
123,54113,"Fastly, Inc.",True,"2001:7fa:11:6:0:d361:0:1, 2001:7fa:11:6:0:d361:0:2, 43.243.21.63, 43.243.21.65"
123,135069,Feenix Communications Limited,True,"2001:7fa:11:6:2:f9d:0:1, 2001:7fa:11:6:2:f9d:0:2, 43.243.21.45, 43.243.21.60"
123,131455,Freightways Information Services Limited,True,"2001:7fa:11:6:2:17f:0:2, 43.243.21.100"
123,132857,Full Flavour Ltd,True,"2001:7fa:11:6:2:6f9:0:1, 43.243.21.16"
123,134673,Gisborne.net.nz Limited,True,43.243.21.66
123,132692,GlobiCom Ltd (VpsCity),True,"2001:7fa:11:6:2:654:0:1, 2001:7fa:11:6:2:654:0:2, 43.243.21.115, 43.243.21.72"
123,137409,GSL Networks,True,"2001:7fa:11:6:2:18c1:0:1, 43.243.21.82"
123,38437,Headquarters N.D.C,True,"2001:7fa:11:6:0:9625:0:1, 43.243.21.26"
123,133399,Hitech Solutions,True,"2001:7fa:11:6:2:917:0:1, 43.243.21.127"
123,133950,Hoopla Hosting Limited,True,"2001:7fa:11:6:2:b3e:0:1, 43.243.21.107"
123,136557,Host Universal,True,"2001:7fa:11:6:2:156d:0:1, 43.243.21.73"
123,6939,Hurricane Electric,True,"2001:7fa:11:6:0:1b1b:0:1, 43.243.21.17"
123,19551,Imperva Inc,True,"2001:7fa:11:6:0:4c5f:0:1, 43.243.21.97"
123,17705,Inspire Net Limited,True,"2001:7fa:11:6:0:4529:0:1, 43.243.21.9"
123,132722,Intellium Technology Limited,True,"2001:7fa:11:6:2:672:0:1, 43.243.21.131"
123,10084,Internet Association of Australia,True,43.243.21.200
123,23710,InternetNZ,True,"2001:7fa:11:6:0:6aae:0:1, 43.243.21.61"
123,38064,InternetNZ,True,"2001:7fa:11:6:0:94b0:0:1, 43.243.21.44"
123,45809,InternetNZ,True,"2001:7fa:11:6:0:b2f1:0:1, 43.243.21.15"
123,55785,ispco.nz,True,"2001:7fa:11:6:0:d9e9:0:2, 43.243.21.62"
123,24324,Kordia,True,"2001:7fa:11:6:0:5f04:0:1, 43.243.21.74"
123,131291,LANWorx Ltd,True,"2001:7fa:11:6:2:db:0:1, 43.243.21.13"
123,45267,Lightwire Business,True,"2001:7fa:11:6:0:b0d3:0:1, 2001:7fa:11:6:0:b0d3:0:2, 43.243.21.103, 43.243.21.43"
123,9433,Massey University,True,"2001:7fa:11:6:0:24d9:0:1, 43.243.21.47"
123,152880,MEGA Limited,True,"2001:7fa:11:6:3:23f1:0:1, 43.243.21.57"
123,8075,Microsoft Sweden 1172 AB,True,"2001:7fa:11:6:0:1f8b:0:1, 2001:7fa:11:6:0:1f8b:0:2, 43.243.21.23, 43.243.21.99"
123,132347,MikiPro Limited,True,"2001:7fa:11:6:2:4fb:0:1, 43.243.21.38"
123,2906,Netflix Streaming Services International B.V.,True,"2001:7fa:11:6:0:b5a:0:1, 2001:7fa:11:6:0:b5a:0:2, 43.243.21.76, 43.243.21.77"
123,24459,NetValue Hosting (by RimuHosting Ltd),True,"2001:7fa:11:6:0:5f8b:0:1, 43.243.21.89"
123,132847,Network Solutions Group,True,"2001:7fa:11:6:2:6ef:0:1, 43.243.21.109"
123,132881,OmniNet Ltd,True,"2001:7fa:11:6:2:711:0:1, 43.243.21.39"
123,9500,One New Zealand - Interconnect Account,True,"2001:7fa:11:6:0:251c:0:1, 2001:7fa:11:6:0:251c:0:4, 43.243.21.64, 43.243.21.91"
123,132255,PrimoWireless Ltd,True,43.243.21.49
123,138398,Prodigi,True,"2001:7fa:11:6:0:1c9e:0:1, 43.243.21.94"
123,38022,RESEARCH EDUCATION ADVANCED NETWORK NEW ZEALAND,True,"2001:7fa:11:6:0:9486:0:1, 43.243.21.50"
123,131296,RexNetworks Limited,True,"2001:7fa:11:6:2:e0:0:1, 43.243.21.70"
123,151191,Select Solutions Limited,True,"2001:7fa:11:6:2:4e97:0:1, 43.243.21.106"
123,45179,SiteHost,True,"2001:7fa:11:6:0:b07b:0:1, 43.243.21.42"
123,137495,Skyline Networks NZ Ltd,True,"2001:7fa:11:6:2:1917:0:1, 43.243.21.110"
123,23838,Solarix Networks Limited / Plan B Group,True,"2001:7fa:11:6:0:5d1e:0:1, 43.243.21.22"
123,14593,Space Exploration Technologies,True,"2001:7fa:11:6:0:3901:0:1, 43.243.21.120"
123,38195,Superloop Ltd,True,"2001:7fa:11:6:0:9533:0:1, 43.243.21.69"
123,58511,Swoop,True,"2001:7fa:11:6:0:e48f:0:1, 43.243.21.32"
123,135328,Tangelo Services Pty Ltd,True,"2001:7fa:11:6:2:10a0:0:1, 43.243.21.59"
123,133075,Telesmart Ltd,True,"2001:7fa:11:6:2:7d3:0:1, 43.243.21.41"
123,58610,Telnet Telecommunication Limited,True,"2001:7fa:11:6:0:e4f2:0:1, 43.243.21.68"
123,4637,Telstra UK Limited,True,"2001:7fa:11:6:0:121d:0:1, 43.243.21.130"
123,9303,The Digital Lab 2007 Limited,True,"2001:7fa:11:6:2:2457:0:1, 43.243.21.87"
123,134967,TopQuality Limited,True,"2001:7fa:11:6:2:f37:0:1, 43.243.21.86"
123,55850,Trustpower ISP,True,"2001:7fa:11:6:0:da2a:0:1, 2001:7fa:11:6:0:da2a:0:2, 43.243.21.102, 43.243.21.67"
123,136797,Turbo I.T,True,"2001:7fa:11:6:0:165d:0:2, 43.243.21.56"
123,45230,UberGroup ltd,True,"2001:7fa:11:6:0:b0ae:0:1, 43.243.21.40"
123,134220,UFONE,True,"2001:7fa:11:6:2:c4c:0:1, 43.243.21.88"
123,133192,Ultimate Broadband,True,"2001:7fa:11:6:2:848:0:1, 43.243.21.83"
123,45637,UniFone New Zealand Limited,True,"2001:7fa:11:6:0:b245:0:1, 43.243.21.84"
123,17492,Vector Communications,True,"2001:7fa:11:6:0:4454:0:1, 43.243.21.11"
123,132268,VelocityNet,True,"2001:7fa:11:6:2:4ac:0:1, 43.243.21.29"
123,151336,VERGE-AS-AP,True,"2001:7fa:11:6:2:4f28:0:1, 43.243.21.129"
123,703,Verizon - Asia-Pac,True,"2001:7fa:11:6:0:2bf:0:1, 43.243.21.4"
123,64073,Vetta Online,True,"2001:7fa:11:6:0:fa49:0:1, 2001:7fa:11:6:2:736:0:1, 43.243.21.10, 43.243.21.132"
123,24516,Virtutel Pty Ltd,True,"2001:7fa:11:6:0:5fc4:0:1, 43.243.21.7"
123,139005,Vivid Computers Ltd,True,"2001:7fa:11:6:0:1ecb:0:1, 43.243.21.92"
123,4826,Vocus,True,"2001:7fa:11:6:0:12da:0:2, 43.243.21.27"
123,17435,Vodafone Next Generation Services Limited,True,"2001:7fa:11:6:0:441b:0:1, 43.243.21.80"
123,58666,Vorco,True,"2001:7fa:11:6:0:e52a:0:1, 43.243.21.33"
123,56030,Voyager Internet Limited,True,"2001:7fa:11:6:0:dade:0:1, 43.243.21.71"
123,136964,Wesfarmers Industrial & Safety NZ Limited (NZ Safety Blackwoods),True,"2001:7fa:11:6:2:1704:0:1, 43.243.21.125"
123,136463,WheroNet,True,"2001:7fa:11:6:2:150f:0:1, 43.243.21.20"
123,132449,WirelessNation Ltd,True,"2001:7fa:11:6:2:561:0:1, 43.243.21.31"
123,18400,Xtreme Networks Limited,True,"2001:7fa:11:6:0:47e0:0:1, 43.243.21.28"
123,131227,Yrless Ltd,True,"2001:7fa:11:6:2:9b:0:1, 43.243.21.21"
123,132588,Yrless Ltd,True,"2001:7fa:11:6:2:5ec:0:1, 43.243.21.58"
123,61138,Zappie Host,True,"2001:7fa:11:6:0:eed2:0:1, 43.243.21.123"
123,53813,Zscaler,True,"2001:7fa:11:6:0:d235:0:1, 2001:7fa:11:6:0:d235:0:2, 43.243.21.116, 43.243.21.6"
699,133287,Andhra Pradesh State FiberNet,True,"103.115.147.106, 2001:de8:c000::106"
699,133726,ASN 133726,True,"103.115.147.117, 2001:de8:c000::117"
699,135765,ASN 135765,True,"103.115.147.118, 2001:de8:c000::118"
699,136364,ASN 136364,True,"103.115.147.104, 2001:de8:c000::104"
