ProviderID,asn,name,ipv6,ip_addresses
899,13335,"Cloudflare, Inc. (2)",True,"149.112.3.13, 2001:504:14::1:3335:1"
899,6939,Hurricane Electric,True,"149.112.3.12, 2001:504:14::6939:1"
899,22822,Limelight Networks,True,"149.112.3.15, 2001:504:14::2:2822:1"
899,14525,Stellar Technologies,True,"149.112.3.11, 2001:504:14::1:4525:1"
899,62887,Whitesky Communications,True,"149.112.3.14, 2001:504:14::6:2887:1"
276,20940,Akamai Technologies (5),False,
276,1111,Alpen-Adria-Universit,False,
276,42473,Anexia,False,
276,34695,E4A,False,
276,6798,Net4You,False,
276,50226,Netcompany GmbH,False,
276,24953,NETPLANET GmbH,False,
276,39912,Oja.at GmbH,False,
276,41905,Phorus,False,
276,34785,Stadtwerke Klagenfurt AG,False,
1242,401038,Accuris,True,2001:504:132::e
1242,52210,Accuris Technologies Primary,True,"149.112.74.12, 2001:504:132::12"
1242,57194,AccurIX Route Servers,True,"149.112.74.1, 149.112.74.2, 2001:504:132::1, 2001:504:132::2"
1242,47326,Advanced Micro Defence Technologies Ltd.,True,"149.112.74.3, 2001:504:132::3"
1242,212085,Alexander Bruegmann,True,"149.112.74.26, 2001:504:132::26"
1242,1003,andrewnet,True,"149.112.74.4, 2001:504:132::4"
1242,211562,andrewnet experimental,True,2001:504:132::d
1242,26195,Cyberri Technologies Inc.,True,"149.112.74.69, 2001:504:132::69"
1242,209933,David Andri Jakobsson,True,"149.112.74.10, 2001:504:132::10"
1242,200351,Dynamic Quantum Networks,True,"149.112.74.8, 2001:504:132::8"
1242,199518,Gregory Shapiro,True,"149.112.74.18, 2001:504:132::18"
1242,26556,HYEHOST LLC,True,2001:504:132::f
1242,47272,hyehost_AMS,True,"149.112.74.16, 2001:504:132::16"
1242,34927,iFog GmbH,True,"149.112.74.11, 2001:504:132::11"
1242,207941,Jiten Pathy,True,"149.112.74.25, 2001:504:132::25"
1242,112,Joint-stock company MSK-IX,True,"149.112.74.112, 2001:504:132::112"
1242,216320,Kiriel Slembrouck,True,2001:504:132::14
1242,50224,MythicalKitten,True,"149.112.74.5, 149.112.74.6, 2001:504:132::5, 2001:504:132::6"
1242,52025,ParadoxNetworks Limited,True,"149.112.74.7, 2001:504:132::7"
1242,35952,"ParadoxNetworks, Inc (Anycast)",True,"149.112.74.14, 2001:504:132::1a"
1242,40544,"ParadoxNetworks, LLC",True,"149.112.74.22, 2001:504:132::22"
1242,61977,Path Global UK Limited,True,2001:504:132::b
1242,57156,Pluxcon Ltd,True,"149.112.74.9, 2001:504:132::9"
1242,54681,Rose Telecom,True,"149.112.74.15, 2001:504:132::15"
1242,197532,SELFHOSTABLE,True,"149.112.74.17, 2001:504:132::17"
1242,60900,Ssmidge LLC,True,"149.112.74.13, 2001:504:132::13"
1242,19651,The Trusty Ledger Ltd,True,"149.112.74.19, 2001:504:132::19"
1242,202427,Ursin Filli,True,2001:504:132::c
323,7575,AARNet,True,"2001:7fa:11:5:0:1d97:0:1, 218.100.54.139"
323,16509,Amazon.com (Amazon Web Services) (2),True,"2001:7fa:11:5:0:407d:0:1, 2001:7fa:11:5:0:407d:0:2, 218.100.54.134, 218.100.54.135"
323,7606,AS7606 Route Servers,True,"2001:7fa:11:5:0:1db6:0:1, 2001:7fa:11:5:0:1db6:0:2, 218.100.54.129, 218.100.54.254"
323,13335,"Cloudflare, Inc. (2)",True,"2001:7fa:11:5:0:3417:0:1, 218.100.54.133"
323,9290,GoHosting Pty Ltd,True,"2001:7fa:11:5:0:244a:0:1, 2001:7fa:11:5:0:244a:0:2, 218.100.54.137, 218.100.54.140"
323,38826,Infinite Networks,True,"2001:7fa:11:5:0:97aa:0:1, 218.100.54.136"
323,10084,Internet Association of Australia,True,"2001:7fa:11:5:0:2764:0:1, 218.100.54.200"
323,6447,RouteViews,True,"2001:7fa:11:5:0:192f:0:1, 218.100.54.130"
586,55561,2talk Ltd,True,"2001:7fa:11:6:0:d909:0:1, 43.243.21.8"
586,63956,5G Networks Operations Pty Ltd,True,"2001:7fa:11:6:0:f9d4:0:1, 43.243.21.75"
586,18119,ACSData,True,"2001:7fa:11:6:0:46c7:0:1, 43.243.21.46"
586,20940,Akamai Technologies (5),True,"2001:7fa:11:6:0:51cc:0:1, 2001:7fa:11:6:0:51cc:0:2, 43.243.21.128, 43.243.21.53"
586,32787,Akamai Technologies (AS32787),True,"2001:7fa:11:6:0:8013:0:1, 43.243.21.122"
586,16509,Amazon.com (Amazon Web Services) (2),True,"2001:7fa:11:6:0:407d:0:2, 43.243.21.113"
586,45475,Amuri Net Ltd,True,"2001:7fa:11:6:0:b1a3:0:1, 43.243.21.108"
586,58511,Anycast,True,"2001:7fa:11:6:0:e48f:0:1, 43.243.21.32"
586,133187,Ashnet Limited,True,"2001:7fa:11:6:2:843:0:1, 43.243.21.85"
586,64095,Blue Reach Services Ltd,True,"2001:7fa:11:6:0:fa5f:0:1, 43.243.21.81"
586,152703,Broadband and Internet New Zealand Limited,True,"2001:7fa:11:6:2:547f:0:1, 43.243.21.18"
586,56028,BTG,True,"2001:7fa:11:6:0:dadc:0:1, 43.243.21.51"
586,9790,Callplus,True,"2001:7fa:11:6:0:263e:0:1, 2001:7fa:11:6:0:263e:0:2, 43.243.21.3, 43.243.21.79"
586,24226,Catalyst.NET,True,"2001:7fa:11:6:0:5ea2:0:1, 43.243.21.133"
586,13150,Cato Networks,True,"2001:7fa:11:6:0:335e:0:1, 43.243.21.117"
586,137267,CBROS Technologies Limited,True,"2001:7fa:11:6:2:1833:0:1, 43.243.21.105"
586,4049,Cello Communications,True,"2001:7fa:11:6:0:fd1:0:1, 2001:7fa:11:6:0:fd1:0:2, 43.243.21.114, 43.243.21.48"
