ProviderID,network_name,addresses,route_server_asns
322,GBG-PEERING,"185.1.82.0/24, 2001:7f8:ad::/64",[]
463,STH-PEERING,"192.121.80.0/24, 192.121.80.0/24, 2001:7f8:3e::/64, 2001:7f8:3e::/64",[]
1371,SDL-PEERING,"185.1.142.0/24, 2001:7f8:dd::/64",[]
270,UME-PEERING,"185.1.157.0/24, 2001:7f8:e9::/64",[]
939,ISP,"194.85.177.0/25, 2001:7f8:20:901::/64",[]
198,Public,"2001:504:98::0/64, 206.83.12.0/24",[]
910,Production Ready VLAN,"103.158.187.0/24, 2a0f:5707:ffe3::/64",[]
487,Peering VLAN,"2001:7f8:24::/64, 91.206.52.0/23",[]
565,default,"185.1.79.0/24, 2001:7f8:aa::/64",[]
373,,,[]
810,Peering LAN,"2001:504:60::/64, 2001:504:60::/64, 206.53.201.0/24, 206.53.201.0/24",[]
485,SCAX-IX,"149.112.103.0/24, 2001:504:13D::/64",[]
835,Vlan#1,"185.1.29.0/24, 185.1.29.0/24, 2001:7f8:8a::/64, 2001:7f8:8a::/64",[]
1232,Internet - PWR Thinx (Openpeering.PL),"2001:7f8:60::/48, 212.91.0.0/22",[]
839,,"196.223.5.0/24, 2001:43f8::/64",[]
837,Peering LAN,"194.116.96.0/24, 2001:7f8:23:ffff::/64",[]
836,Public Peering,"2001:504:1A::34:0/111, 206.108.34.0/23",[]
841,TR-IX Denizli,"185.1.158.0/24, 2001:7f8:ea::/64",[]
838,OpenPeering,"195.149.232.0/22, 2001:7f8:27::/48",[]
838,quarantine,195.149.232.0/22,[]
1169,TBD,181.188.0.240/28,[]
840,Unicast Peering,"195.140.192.0/24, 2001:7f8:1d:4::/64",[]
1236,TTPL Peering VLAN,"103.129.62.0/26, 2001:dea:4000::/64",[]
1051,Tucson,"2001:504:71::/64, 206.71.14.0/24",[]
772,UEPG IX MLPA,"2801:80:37a0::/64, 45.186.143.0/24",[]
683,,"195.35.65.0/24, 2001:7F8:5D::/116",[]
773,Public,"185.1.19.0/26, 2001:7f8:7d::/64",[]
771,,,[]
694,ISP,"193.232.136.0/24, 2001:7f8:20:701::/64",[]
169,VSIX Peering,185.1.115.0/24,[]
1192,,,[]
1388,,,[]
1147,,"2001:504:2f::/64, 206.126.225.0/24",[]
