"ProviderID","name","addresses","router_server_asns"
"938","Standard Peering Service Malaysia","103.119.232.0/23, 2403:4ac0::/64",
"399","","",
"740","Peering LAN","206.71.142.0/24",
"164","Peering LAN","185.1.114.0/24, 2001:7f8:c5::/64",
"999","MIX Bologna","185.1.231.0/24, 2001:7f8:101:13::/64",
"1207","MIX Palermo","185.1.186.0/24, 2001:7f8:101:7::/64",
"1293","MIX Roma","185.188.83.0/24, 2001:7f8:101:14::/64",
"8","MIX-IT","2001:7f8:b:100::/64, 217.29.66.0/23",
"584","","185.1.44.0/24, 2001:7f8:22::/48",
"559","Standard Peering Service Marseille","185.1.47.0/24, 2001:7f8:36::/64",
"13","ISP","194.190.119.0/24, 2001:7f8:20:801::/64",
"13","ISP","194.85.107.0/24, 2001:7f8:20:301::/64",
"13","ISP","195.208.208.0/21, 2001:7f8:20:101::/64",
"13","ISP","193.232.140.0/24, 2001:7f8:20:501::/64",
"13","ISP","193.232.136.0/24, 2001:7f8:20:701::/64",
"13","ISP","194.226.100.0/23, 2001:7f8:20:201::/64",
"13","ISP","194.226.102.0/23, 2001:7f8:20:202::/64",
"13","ISP","193.232.87.0/24, 2001:7f8:20:401::/64",
"54","Standard Peering Service Munich","185.1.208.0/23, 2001:7f8:44::/64",
"929","Nashville","149.112.15.0/24, 2001:504:107::/64",
"1033","Namex Bari Public Peering","185.1.218.0/24, 2001:7f8:11b::/64",
"17","Namex Roma Public Peering","193.201.28.0/23, 2001:7f8:10::/64",
"1400","VLAN100-PEERING-IPv4","45.68.88.0/24",
"1400","VLAN101-PEERING-IPv6","2801:18d::/64",
"216","NAPEC-GYE PRODUCCION","200.110.120.0/25, 2001:13C7:6F80:0000::/64",
"153","NAPEC-UIO PRODUCCION","200.1.6.0/25, 2001:13C7:6006:0000::/64",
"648","NAPAfrica CT1 Peering","196.60.70.0/23, 196.60.70.0/23, 2001:43f8:6d1::/64, 2001:43f8:6d1::/64",
"648","NAPAfrica MAPS Cape Town","196.46.25.0/25",
