date, RIR, IPv4 adoption, IPv6 adoption
20241009, apnic,  0.3550,  0.2385
20241009, ripencc,  0.6919,  0.3905
20241009, lacnic,  0.5266,  0.5278
20241009, arin,  0.3609,  0.6364
20241009, afrinic,  0.3178,  0.1067
